Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region
EMP1043,Bob,Garcia,30.0,Inactive,2023-05-23,64744.08,bob.garcia@example.com,164597793,Excellent,False,Admin,California
EMP1044,Eva,Brown,30.0,Active,2020-07-08,94399.91,eva.brown@example.com,5232194167,Good,True,Finance,California
EMP1047,Alice,Davis,35.0,Active,2022-05-30,58921.19,alice.davis@example.com,310303722,Average,True,Sales,Illinois
EMP1048,Alice,Miller,35.0,Active,2023-09-27,57195.55,alice.miller@example.com,6831472759,Excellent,False,Admin,Nevada
EMP1049,Grace,Miller,30.0,Active,2024-11-05,61375.12,grace.miller@example.com,1227770792,Excellent,True,DevOps,New York
EMP1050,Charlie,Davis,40.0,Pending,2021-11-11,104767.05,charlie.davis@example.com,3496050165,Excellent,False,Cloud Tech,New York
EMP1056,Frank,Garcia,40.0,Active,2022-02-27,112965.33,frank.garcia@example.com,7293417222,Good,False,Sales,Illinois
EMP1057,Alice,Smith,40.0,Pending,2023-11-07,100360.1,alice.smith@example.com,2971674337,Excellent,False,Cloud Tech,Illinois
EMP1063,Charlie,Smith,25.0,Pending,2023-07-20,93348.26,charlie.smith@example.com,1255213759,Poor,False,HR,Illinois
EMP1065,Bob,Johnson,40.0,Pending,2021-02-02,100284.21,bob.johnson@example.com,5328632665,Excellent,False,Finance,Nevada
EMP1066,Grace,Brown,30.0,Pending,2020-01-12,112486.19,grace.brown@example.com,7850720810,Excellent,True,Admin,Nevada
EMP1073,David,Johnson,25.0,Inactive,2023-01-16,82614.7,david.johnson@example.com,8105485100,Average,True,Finance,Florida
EMP1076,David,Brown,40.0,Inactive,2022-09-21,52031.74,david.brown@example.com,1589357125,Good,True,Admin,California
EMP1080,Grace,Davis,35.0,Active,2024-03-14,87759.33,grace.davis@example.com,2881377027,Average,False,Cloud Tech,Florida
EMP1081,Frank,Brown,30.0,Pending,2020-03-23,102796.32,frank.brown@example.com,5196115939,Good,False,DevOps,Texas
EMP1082,David,Jones,25.0,Active,2020-09-15,83149.27,david.jones@example.com,8215454469,Poor,True,Sales,New York
EMP1090,Heidi,Garcia,40.0,Pending,2021-07-03,72561.32,heidi.garcia@example.com,4339718955,Excellent,True,Finance,Nevada
EMP1093,Eva,Miller,30.0,Pending,2020-01-21,86163.91,eva.miller@example.com,2412462094,Average,True,DevOps,California
EMP1096,Frank,Johnson,40.0,Inactive,2022-05-21,119764.2,frank.johnson@example.com,8861405785,Average,False,Sales,Illinois
EMP1099,Eva,Jones,25.0,Active,2022-01-09,85547.87,eva.jones@example.com,2582386869,Good,False,Admin,California
EMP1110,Eva,Garcia,30.0,Active,2024-06-11,71532.83,eva.garcia@example.com,8728399920,Good,True,Cloud Tech,Texas
EMP1124,Heidi,Jones,30.0,Active,2023-05-12,85576.86,heidi.jones@example.com,4567972319,Poor,False,Admin,Florida
EMP1126,Eva,Johnson,30.0,Inactive,2024-11-07,60401.68,eva.johnson@example.com,2274954507,Average,False,Sales,Nevada
EMP1136,David,Smith,30.0,Pending,2024-06-11,62603.98,david.smith@example.com,9611223385,Good,False,Finance,Illinois
EMP1150,Alice,Williams,30.0,Pending,2021-03-29,95335.67,alice.williams@example.com,3373898774,Poor,False,Sales,California
EMP1152,Heidi,Smith,25.0,Pending,2020-10-04,77205.21,heidi.smith@example.com,5292407552,Average,False,Cloud Tech,New York
EMP1168,Heidi,Davis,40.0,Active,2021-10-02,79873.48,heidi.davis@example.com,41257770,Average,False,Finance,Nevada
EMP1173,Heidi,Brown,30.0,Pending,2022-01-22,58041.97,heidi.brown@example.com,6335331059,Poor,True,Cloud Tech,California
EMP1236,Charlie,Miller,30.0,Inactive,2023-08-23,69508.28,charlie.miller@example.com,2087510292,Good,False,HR,Florida
EMP1248,Eva,Smith,30.0,Pending,2022-12-28,56539.99,eva.smith@example.com,9484910255,Excellent,True,DevOps,California
